name,name_id,character,first_name,last_name,img_url,imdb_id
Alan Alda,1,Captain Benjamin Franklin Pierce,Alan,Alda,,
Alan Manson,2,Colonel Hersh,Alan,Manson,,
Alex Henteloff,3,Captain Casey,Alex,Henteloff,,
Arlene Golonka,4,Nurse Edwina 'Eddie' Ferguson,Arlene,Golonka,,
Barbara Brownell,5,Lt. Jones,Barbara,Brownell,,
Bert Kramer,6,Sgt. Martin,Bert,Kramer,,
Bill Svanoe,7,Aide,Bill,Svanoe,,
Billy Green Bush,8,John 'Cowboy' Hodges,Billy,Green Bush,,
Bobbie Mitchell,9,Nurse Mason,Bobbie,Mitchell,,
Bonnie Jones,10,Lt. Barbara Bannerman ,Bonnie,Jones,,
Bruce Kimmel,11,Private Gilbert,Bruce,Kimmel,,
Bruno Kirby,12,Pvt. Lorenzo Boone,Bruno,Kirby,,
Buck Young,13,M.P.,Buck,Young,,
Byron Chung,14,P.O.W.,Byron,Chung,,
Captain Tuttle,15,Himself,Captain,Tuttle,,
Chuck Hicks,16,Patient #2,Chuck,Hicks,,
Craig Jue,17,Benny,Craig,Jue,,
Dennis Fimple,18,Sergeant 'Sparky' Pryor,Dennis,Fimple,,
Ed Flanders,19,Lt. Dwayne Bricker,Ed,Flanders,,
Fred Lerner,20,Patient #1,Fred,Lerner,,
G. Wood,21,Brig. Gen. Charlie Hammond,G.,Wood,,
Gail Bowman,22,Nurse Powell,Gail,Bowman,,
Gary Burghoff,23,Corporal Walter Eugene O'Reilly,Gary,Burghoff,,
Gary Van Ormand,24,Corporal,Gary,Van Ormand,,
George Morgan,25,Lt. Father Francis John Patrick Mulcahy,George,Morgan,,
Harvey J. Goldenberg,26,Kaplan,Harvey ,Goldenberg,,
Harvey J. Goldenberg,27,Kaplan,Harvey,Goldenberg,,
Herb Voland,28,Gen. Crandell Clayton,Herb,Voland,,
Jack Riley,29,Capt. Kaplan,Jack,Riley,,
Jack Soo,30,Charlie Lee,Jack,Soo,,
James Sikking,31,Finance Officer,James,Sikking,,
James T. Callahan,32,Tommy Gillis ,James,Callahan,,
Jamie Farr,33,Maxwell Klinger,Jamie,Farr,,
Jean Pleet,34,Nurse,Jean,Pleet,,
Jean Powell,35,Nurse Baker,Jean,Powell,,
Jean Turrell,36,Miller Sister,Jean,Turrell,,
Jerry Harper,37,Sergeant,Jerry,Harper,,
Joan Lucksinger,38,Miller Sister,Joan,Lucksinger,,
Joe Corey,39,Goldstein,Joe,Corey,,
Joey Forman,40,Jackie Flash,Joey,Forman,,
John A. Zee,41,Commander Sturner,John,Zee,,
John C. Johnson,42,Truck Driver,John,Johnson,,
John Orchard,43,Capt. 'Ugly John' Black,John,Orchard,,
Joseph V. Perry,44,The Cook (as Joseph Perry),Joseph,Perry,,
Karen Philipp,45,Lt. Maria 'Dish' Schneider,Karen,Philipp,,
Kasuko Sakuro,46,Cho-Cho,Kasuko,Sakuro,,
Kathleen King,47,Nurse Beddoes,Kathleen,King,,
Kelly Jean Peters,48,Lt. Louise Anderson,Kelly,Peters,,
Larry Linville,49,Major Franklin Marion Burns,Larry,Linville,,
Laura Miller,50,Knocko,Laura,Miller,,
Leslie Nielsen,51,Col. Buzz Brighton,Leslie,Nielsen,,
Linda Meiklejohn,52,Lt. Leslie Scorch,Linda,Meiklejohn,,
Lizabeth Deen,53,Becky,Lizabeth,Deen,,
Loretta Swit,54,Major Margaret Houlihan,Loretta,Swit,,
Lynette Mettey,55,Lt. Nancy Griffin ,Lynette,Mettey,,
Marcia Strassman,56,Nurse Margie Cutler,Marcia,Strassman,,
Marilyn King,57,Miller Sister,Marilyn,King,,
Mary-Robin Redd,58,Sister Theresa ,Mary-Robin,Redd,,
McLean Stevenson,59,Lt. Colonel Henry Blake,McLean,Stevenson,,
Mike Robelo,60,Cook,Mike,Robelo,,
Noel Toy,61,Mama San,Noel,Toy,,
Odessa Cleveland,62,Lt. Ginger Bayliss,Odessa,Cleveland,,
Oksun Kim,63,Korean Woman,Oksun,Kim,,
Patrick Adiarte,64,Ho-Jon,Patrick,Adiarte,,
Paul Jenkins,65,Sergeant Baker,Paul,Jenkins,,
Robert Gooden,66,Pvt. Lorenzo Boone,Robert,Gooden,,
Robert Ito,67,Lin,Robert,Ito,,
Ron Howard,68,Wendell ,Ron,Howard,,
Sheila Lauritsen,69,Nurse Hardy,Sheila,Lauritsen,,
Sorrell Booke,70,Gen. Wilson Spaulding Barker,Sorrell,Booke,,
Stanley Bennett Clay,71,Driver ,Stanley,Bennett Clay,,
Stefanianna Christopherson,72,Lt. O'Brien ,Stefanianna,Christopherson,,
Stuart Margolin,73,Captain Phillip G. Sherman,Stuart,Margolin,,
Timothy Brown,74,Capt. Oliver Harmon 'Spearchucker' Jones,Timothy,Brown,,
Todd Susman,75,P.A. Announcer ,Todd,Susman,,
Tom Sparks,76,Corpsman,Tom,Sparks,,
Virginia Ann Lee,77,Young Hi,Virginia,Ann Lee,,
Wayne Bryan,78,Private Thompson,Wayne,Bryan,,
Wayne Rogers,79,Captain John McIntyre,Wayne,Rogers,,
William Christopher,80,Father Francis Mulcahy,William,Christopher,,
William Katt,81,P.F.C. ,William,Katt,,